gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,cum_shift
SLITRK4,-0.01611822293701576,0.7236941398861737,0.04688228438228434,0.6768118555038893,-0.010909004373426987,restore_normal,-1.2333942991122553
CYP4X1,-0.01641370313419885,0.7142944303924832,0.05124708624708622,0.663047344145397,-0.010883062270721527,restore_normal,-1.2442773613829767
FKBP9,0.016028454368839297,0.23076037939224878,0.9096853146853147,-0.6789249352930659,-0.010882117345212078,restore_normal,-1.2551594787281888
PCDHGA1,0.01593818573284571,0.19836368093116152,0.880696386946387,-0.6823327060152254,-0.01087514540006587,restore_normal,-1.2660346241282547
PABPC5,-0.016497427006577678,0.6628703179406378,0.003904428904428859,0.6589658890362089,-0.010871241654199422,restore_normal,-1.2769058657824541
CRYBG3,0.016006735406369037,0.21320208813451919,0.8921867715617716,-0.6789846834272524,-0.010868328172597272,restore_normal,-1.2877741939550513
ZNF843,0.01607682307989523,0.20030431445755922,0.8756614219114218,-0.6753571074538626,-0.01085759673228554,restore_normal,-1.2986317906873368
TMEM27,-0.01556046819741915,0.9131349741123983,0.2160300116550116,0.6971049624573867,-0.010847279598581236,restore_normal,-1.309479070285918
FGFR3,-0.01557030866116901,0.9403108010759652,0.24383741258741248,0.6964733884885528,-0.010844305633057041,restore_normal,-1.320323375918975
GGA1,0.01600537773699487,0.2740243044814398,0.95136655011655,-0.6773422456351103,-0.010841118498614303,restore_normal,-1.3311644944175893
CDH2,-0.016292682863139535,0.9156707495255455,0.2504967948717949,0.6651739546537506,-0.010837468291993916,restore_normal,-1.3420019627095832
PSG11,0.016258484634924956,0.11858041533624976,0.7846998834498834,-0.6661194681136337,-0.010830093137349898,restore_normal,-1.3528320558469331
ALDH8A1,-0.015794262508523015,0.747034191757713,0.061451048951048914,0.6855831428066641,-0.010828280128906674,restore_normal,-1.3636603359758397
POM121L12,0.01598188477283225,0.249344112965637,0.9261072261072261,-0.6767631131415891,-0.010815950092732113,restore_normal,-1.3744762860685718
FN1,0.016247987224692735,0.26557510936802564,0.9305536130536131,-0.6649785036855874,-0.010804562232578715,restore_normal,-1.3852808483011505
SVIP,0.015924714220156993,0.24138301983128363,0.9177986596736597,-0.6764156398423761,-0.010771725758534478,restore_normal,-1.396052574059685
GLDC,-0.016385036919253037,0.9297068926207759,0.2723863636363636,0.6573205289844123,-0.01077022113519253,restore_normal,-1.4068227951948775
RHO,0.016470061975410726,0.09632842412636697,0.7494915501165502,-0.6531631259901832,-0.010757637165111321,restore_normal,-1.4175804323599888
TMED8,0.015921723849324675,0.18594116444433975,0.8612718531468533,-0.6753306887025136,-0.010752428732495668,restore_normal,-1.4283328610924844
TEAD1,0.015809934744138845,0.1608804460567033,0.8402360139860139,-0.6793555679293106,-0.010740567197029786,restore_normal,-1.4390734282895141
DGCR6L,-0.016465156259585584,0.889469520921485,0.2375203962703963,0.6519491246510887,-0.010734444210680216,restore_normal,-1.4498078725001944
ARHGAP35,0.01567377311140832,0.2457234880880639,0.9298251748251748,-0.6841016867371109,-0.010722454623049205,restore_normal,-1.4605303271232435
RNF128,-0.014909010114056742,0.844685093943575,0.12557546620046614,0.7191096277431089,-0.01072121271313759,restore_normal,-1.471251539836381
C4orf17,0.016441991581028968,0.08750673013419585,0.7393560606060606,-0.6518493304718648,-0.01071770120371777,restore_normal,-1.4819692410400989
