gene,r_PC2,p_PC2
PROX1,-0.6575916553558553,1.4443280712314163e-11
QSOX1,-0.6573888176375933,1.4725049121729148e-11
SLIT2,0.6571697693677754,1.503526419038116e-11
RHEB,-0.6569819957728498,1.5306176440592525e-11
CRAT,0.6566032455959033,1.5866958486381325e-11
PLSCR2,-0.656478670366967,1.605568062721549e-11
SCRN1,-0.6560038105366239,1.679502379584924e-11
LEP,0.6551533901880078,1.820157819318952e-11
STX3,0.6546038595407617,1.91699190119989e-11
CLPTM1L,0.6545263543180196,1.9310411015153717e-11
SLC22A5,0.6543523627250796,1.96294121100877e-11
CPNE4,0.6542056127861278,1.9902396038111023e-11
NEU2,0.6539059722393749,2.047115212446618e-11
FMO1,0.6535823857588904,2.110288151451516e-11
PTPRD,0.653247794152374,2.1775763776102295e-11
SEMA5A,0.6530076138764209,2.2271431198849224e-11
S100A11,-0.6529554423512054,2.2380522355126743e-11
BCL6B,-0.6527977715534842,2.2713340806874967e-11
SNCAIP,-0.6524336479818275,2.3500206370819662e-11
CEP78,-0.6523860365485308,2.360500868868599e-11
SLC36A1,0.6521174963391616,2.420457508286079e-11
ATP6AP1,-0.6519361995725027,2.461759303357523e-11
SEPP1,0.6517228129496665,2.511238704020852e-11
AQP7,0.651319503250652,2.6073767715375737e-11
RNF183,0.6511325081678065,2.653141037511562e-11
SRP14,-0.6509839709594596,2.690041894298558e-11
HSPB8,0.6498427814487373,2.9904466405749514e-11
TPM1,-0.6487838484404596,3.297808448857032e-11
MANF,-0.6487240213580654,3.316049478609058e-11
PRR5,0.6486600312725659,3.335666969085329e-11
PARD6G,0.6483909670870264,3.4193799525354236e-11
CR2,0.6482103042859487,3.476716523450768e-11
C2CD4B,-0.647789016859749,3.61402663952006e-11
BPI,0.6471576617992716,3.829591873353454e-11
HOXB6,-0.6469697793153161,3.896088257950068e-11
ISYNA1,-0.6466468875408238,4.012964574566653e-11
B3GNT8,-0.6464308746186098,4.0930248103955783e-11
COCH,0.6463149996241493,4.136600608453075e-11
STARD13,-0.6462911047512105,4.145641687436337e-11
PROC,0.646066262326584,4.231649004423788e-11
ALDOC,-0.6453031878960902,4.536493633264635e-11
APOM,0.6443172288822869,4.961692018583245e-11
NT5E,0.6439891279587253,5.111479582364068e-11
TUB,0.6433889532804986,5.396775826991901e-11
SYNE2,-0.6433854797437196,5.3984706258125846e-11
FGB,0.6431611177295288,5.509029094785805e-11
ABLIM2,0.6426275903618319,5.780727314764052e-11
GRIA3,0.642473113107342,5.86176474519258e-11
PPP1R14B,-0.6415535486046625,6.367185321911061e-11
HAO1,0.6415486845772285,6.36996671964515e-11
EFR3B,-0.6412825470851851,6.523941542352187e-11
MTHFS,0.6412222307520218,6.559330759272129e-11
LOX,0.6404651864587858,7.019469844025092e-11
APOA1,0.6404538554566611,7.026586669551062e-11
MGAT3,0.6398659536558268,7.405485091936006e-11
