,PC1,PC2,PC3,PC4,PC5
SLCO4C1,-0.016337539674363973,0.007276770161192019,-0.006878448266690253,-0.002044575113034324,0.002453047443868296
SFTPB,0.01597666475153188,0.004353968367221709,0.0031548409482818588,0.006353842662403728,-0.001109215546068906
MUC15,-0.015307778866302229,-0.009613093037577312,-0.02703641646011751,-0.015437317158405245,0.010857017121171214
FN1,0.016247987224692735,0.00196519830846235,-0.002193345644981756,-0.0011328251092049338,-0.00539571033231391
ZNF93,0.015999768578179887,-0.005877657875409784,-0.0010018707751615046,0.001635700072418393,0.0019711434274752413
FXYD3,0.016099962956016727,-0.0009465845307303961,-0.005990240488195467,-0.0012061594380095551,0.0059776712143238065
AGAP11,0.016296917126152735,0.0019283406610001476,-0.0019124206688326134,0.003070003653762565,-0.009263531903919904
COL4A5,-0.016311440639259583,-0.00762391137175885,-0.004591377793592525,0.0012072863033687211,0.011376781747748282
PLSCR4,-0.016377189212618905,0.0011620945851876243,0.002060127520593533,0.0011009717895404574,-0.00343708702135912
SLC4A7,-0.015879533488625006,-0.013165733777054307,-0.007169710871304265,-0.0016856831764962869,-0.0065127962577607315
PEAK1,0.016297485492508926,-0.001749658572036576,0.005129943232938684,-0.004061836050081482,-0.004302488063551785
ENPEP,-0.014867611527681773,0.022395104827363774,0.0012644858104702375,-0.0030089461338904436,0.000292755851469352
CDK16,0.015900633793835252,-0.0036933286605317257,-0.004093927169436273,-0.008040695029956689,-0.0069503232962436125
NBN,0.016071193054769575,0.0034517358049343263,-0.0007408561816429431,-0.003432326048469385,-0.012915174185063315
HR,0.01602587657661574,0.003164575286372477,-0.0015678894591503816,0.0032881393530538945,0.01687095569349909
NNAT,0.01654821030837228,0.0011315543359022285,0.00022586826919893623,-3.3451212710870804e-05,0.0023546910774716405
DNMT3L,-0.00990635970414854,0.04121090404083821,0.004577015675291069,-0.0019727266579291033,-0.0023623423408881514
PDXDC1,-0.016421990899920576,-0.0004921391030415484,-0.0008715497830727705,0.0022248284643816255,0.007999345311448287
PSG11,0.016258484634924956,0.0034679998691489952,-0.0031558670015830554,-0.005227642570801143,-0.0002057367555961396
MIR1236,0.016062122971031437,0.002437294247630925,-0.0006104795732653994,0.004889503457222944,-0.0031553958827853098
FGFR3,-0.01557030866116901,0.002438598292000619,-0.01616527091230342,0.011774336786071328,-0.0019153525109581004
AKR1E2,0.015904724281725756,-0.008439016084923583,-0.0014873568576245872,0.0005745140413841703,0.008591947950823707
ELF5,-0.015596726074701327,-0.016833699554465245,-0.0021071534570645273,0.0011186593312082105,0.011589334249465942
DPYS,-0.013456164809034415,0.02910159781768028,-0.015561076796230103,-0.011343251219834045,0.005449764316509642
TEAD1,0.015809934744138845,0.002296663432988239,0.0064120433334832255,-0.00338283868213865,-0.009323133948779224
NOVA2,0.016437971123822764,0.0010949474741311874,-0.0009370641682424697,0.0001280720987598792,0.003830800136289116
CYP4X1,-0.01641370313419885,4.258817406495947e-06,-0.003798004635047955,-0.002918823225323655,0.0072597702135082775
PCOLCE2,-0.013980723335500555,0.02124119943319166,0.015663344026849033,1.6476934010070535e-06,0.004800858055619061
ATP5J2,-0.01652859349648419,-0.0017859298081934628,0.0013083391249553986,-0.0009466528787733346,4.2859731878084894e-05
NBR1,0.015755662388816923,0.0004052732431083247,-0.0045355677411587254,0.003646476543920983,-0.01981510995812136
SEPT10,0.015940617844295155,0.0019031693274427135,0.0015929621109046141,0.001809092017131579,-0.0024823945767938594
LINC01210,0.01584447763104658,0.0034383171704831022,-0.0016991010430753854,-0.0002451517281682659,0.0022063219626448846
PAPPA2,0.01494635676393192,0.0003274804990140363,-0.0018392136772246122,0.010841261910110535,-0.011222264177658599
ADRB1,0.012862548381090806,0.0024111811135671475,-0.027120932256612114,0.043653367074109536,0.011093333624055275
TUBB3,0.014394596191438699,-0.005868716963103608,0.033146090961070185,0.006100350082528194,-0.009980850855295818
ATP2B2,0.01556802482345072,-0.0036385877614960142,0.0009718101690165586,-0.004156265137897583,0.003989364555748223
AURKAPS1,0.015759043058655033,-0.000892007789628431,0.003199746757424293,0.006668080604947853,-0.007220761609486661
NDUFAF5,0.016202137757994964,0.001841955677927134,-0.0024915407301182996,-0.002173220317563366,-0.005533163121729733
