gene,r,p_value
AP1S1,-0.8478986175048264,0.015938571424267606
FXYD3,0.8476412343844213,0.016003756994099675
SCG2,-0.8474887756391436,0.016042440677131693
PKP3,0.8460077103922301,0.01642100826419566
TMEM51,0.8452600086464788,0.016614037816384746
GAMT,-0.844117817635006,0.016911393577073525
PTK6,0.8440380520242214,0.01693227186231098
COL17A1,0.8432978297378131,0.017126721568666955
TSPYL1,-0.8426133356901346,0.017307657456254247
UBAP1,0.8423188950671296,0.01738582146857955
AOAH,-0.8416974655741811,0.017551448055796153
TRIM21,0.8416136064289734,0.01757386705486958
ZG16B,0.8414877802713319,0.01760753610207111
GJB6,0.8407985268586751,0.01779261979091729
PRMT2,-0.8405424479995148,0.017861664596902294
KRT6A,0.8403319698436726,0.017918528261010147
LY6D,0.8400793599867535,0.017986910100301148
VCL,0.8399397773620915,0.01802475883424511
IMMP2L,-0.8388406251990477,0.01832438231244996
MT1A,-0.8387859185754976,0.01833936842988133
PDZK1,-0.8386361260735533,0.018380437624720854
FKBP9,0.8386143085672991,0.01838642377049565
LNX2,0.8385854422604917,0.018394345622353567
HIGD2A,-0.8381187883056482,0.018522679686498348
MIR650,-0.8380282930592997,0.018547625385541448
CYP3A5,-0.8373597665818544,0.0187325007856285
SERTAD4,0.8369271734797833,0.01885268595130645
SNORA5A,-0.8364877637724836,0.01897521188456795
CDH1,0.8364436565437735,0.018987535726148485
HLA-DQA2,-0.8363984018278183,0.019000184903803296
TMEM9,-0.8363226818342056,0.019021360146819034
KLHL15,-0.8362809059323804,0.019033048589665775
CRABP2,0.8355626518768641,0.019234645900061582
MST1R,0.8353970469859833,0.019281298419181987
TMEM45A,0.8353512493667682,0.01929421137680069
IL20RA,0.8351368555788298,0.019354726434714066
SAA2,0.8345418698684721,0.0195232312712437
TTL,-0.8342845013886251,0.019596376937428682
IFT20,-0.833218236692195,0.019901069559097106
ITGB6,0.8327144468911698,0.020045958756862468
AHR,0.8326025991519251,0.02007820683157998
MLPH,0.8324109906594996,0.020133519905919463
IL33,-0.8321860170136974,0.020198574842686733
SNORD45A,-0.8319252940101883,0.020274116114165897
TRIM5,0.831654477657101,0.020352751025286196
C12orf10,-0.831640382898786,0.020356848336335408
CLDN7,0.8316293988038419,0.020360041709265683
WASH7P,0.8314538618158851,0.020411113558787303
ANXA6,-0.8309966050764725,0.020544491170274695
SERPINH1,0.8307592220679323,0.020613927709533165
PPHLN1,-0.8300020838865387,0.020836283954193503
DLG3,0.82980357620174,0.020894805240434872
ZDHHC13,0.8296896399615397,0.020928436321483092
NAA38,-0.8291685487566507,0.021082639547917944
TMEM189,0.8289273454224424,0.021154234316624724
IGJ,-0.8286384241365207,0.02124017373255941
