gene,normal_mean,tumor_mean,change_pct,direction,p_value,abs_change
LINC00870,1.1181499823744772,1.1120924013978162,-0.5417503082902388,DOWN,0.11713286713286714,0.5417503082902388
TOMM20,7.431991508804882,7.391735739823247,-0.5416552068707675,DOWN,0.4178321678321678,0.5416552068707675
RBMXL1,4.9177064924456335,4.891085727151746,-0.5413248093350203,DOWN,0.47261072261072257,0.5413248093350203
CHST14,3.2631305302353355,3.245478371891509,-0.5409577759843224,DOWN,0.47261072261072257,0.5409577759843224
TCHP,4.394433409857235,4.370807129152939,-0.5376411132160739,DOWN,0.4178321678321678,0.5376411132160739
TMPRSS3,2.363221180897972,2.3759225416625633,0.5374596701847919,UP,0.47261072261072257,0.5374596701847919
RBM12B,6.274608866769694,6.240909141057736,-0.5370808990251359,DOWN,0.3141025641025641,0.5370808990251359
LIMK2,5.846284207543874,5.877658404848342,0.5366519346422313,UP,0.5273892773892773,0.5366519346422313
DIABLO,5.227967049501833,5.199978707033245,-0.5353580503391898,DOWN,0.36538461538461536,0.5353580503391898
PPP2R5C,6.7096480587324905,6.673745363046103,-0.5350905945008692,DOWN,0.36538461538461536,0.5350905945008692
