gene,r_depth,p_depth,r_TI,r_depth_T1,r_depth_T2,mean_normal,mean_tumour,T_minus_N,p_OS_pooled,med_OS_hi,med_OS_lo
CA9,0.12531747856023098,0.03290180727491164,0.03358145849828679,0.09990699974900305,0.17229137407454617,1.9418968749999999,5.5586920689655175,3.6167951939655176,0.04123480071811814,791.5,767.0
CCL14,-0.12170801637076635,0.038324444175317274,-0.14658760918447056,-0.10973053737800864,-0.21027635592483546,8.640675,6.053070689655172,-2.587604310344828,0.5666972978563665,774.5,769.0
ARID1B,0.11929148962023178,0.042362516427835284,0.12899617060357466,0.037131165023597895,0.07952344594319001,10.767396875,10.070258275862068,-0.6971385991379311,0.5914983668887865,766.0,792.0
STAT5A,-0.11615858285074494,0.04812524880146669,-0.15122027729330653,-0.09302900276465784,-0.31974524090172873,9.68004375,9.754620344827586,0.07457659482758672,0.3202060276042104,779.0,729.0
S100A8,0.11337149921422802,0.053789131787693886,0.013424916333278532,0.16886586423248676,0.09170432512177065,5.29879375,6.028338620689655,0.7295448706896552,0.46911802140076686,714.0,823.0
MAPK1,-0.10948901635525676,0.06259183694848117,-0.12504371656128033,0.06992286289989945,-0.22157966205446883,11.816234375,11.30666551724138,-0.5095688577586213,0.4998601214207652,794.5,729.0
SNAI2,0.10306322077403832,0.07974078838119257,0.0772403564139148,0.10563137217976637,0.16355417854523618,7.542175,4.863603103448276,-2.6785718965517242,0.0031341600676898884,742.0,803.0
FLT3,0.10132839002356873,0.08497104237607477,0.05029246921024492,-0.005879711812471546,0.0799437802859213,4.54178125,3.777708620689655,-0.7640726293103448,0.3855378097345341,680.5,823.0
MTOR,-0.09261154472053965,0.115559103792112,-0.12918736798598396,0.017106101921939072,-0.19521265878481664,11.014215625,10.285468275862067,-0.728747349137933,0.2836035963097608,708.5,799.0
PDK1,0.09257023559598697,0.11572225371263258,0.034618308675634465,0.1158459596258125,0.21367594005050372,8.1243375,8.396548620689655,0.272211120689656,0.09509597085278809,734.5,805.0
CSF1R,-0.08504558641023818,0.14855969613299233,-0.1516982276938536,-0.15566127528055584,-0.1413374595820619,9.154787500000001,10.082317241379311,0.9275297413793098,0.8110274427069326,762.0,797.0
EPAS1,-0.08153651446631664,0.16610546098180345,-0.13519963484498088,-0.16334856437374973,0.07448650791474018,13.349409375,11.166431379310344,-2.1829779956896562,0.886487231387313,811.0,677.0
MCM2,-0.07875636532421937,0.18107303978596284,-0.12268737619121482,-0.2084074777968004,0.08251078084065436,8.213334375,9.05655448275862,0.8432201077586203,0.16982291915340683,687.0,797.0
ARG1,0.07596843330500685,0.1970599325659539,0.09678633197936724,0.029626273601867148,-0.08523553209366319,0.38486875000000004,0.4660375862068965,0.08116883620689647,,,
VHL,0.0718833047186957,0.22230530660699377,0.046195239511742814,-0.02733344071687279,0.05924470170626458,9.216949999999999,8.882800689655173,-0.3341493103448254,0.4231136964124167,734.5,797.0
MAPK3,-0.06681353264387557,0.25673282347184057,-0.18298828023849364,-0.160158546268588,0.19146838720719417,10.562171875,10.416524137931034,-0.14564773706896617,0.8140161478660162,702.5,791.0
PDK4,-0.06539080268409217,0.26702307735323305,-0.07729197184492415,-0.21923846958728535,0.12598450829492946,12.299728125000001,9.490614137931034,-2.809113987068967,0.027851067813210603,750.5,823.0
CHAC1,-0.06497157628948838,0.27010833389110545,-0.1096390953127406,-0.0841362075935971,0.059488697660745535,7.446915625,4.66282275862069,-2.78409286637931,0.013106326386542234,795.5,757.0
NOX1,0.06372111753248953,0.27945501084970836,0.07002532976451492,0.10878520173101307,-0.03147174636951719,0.6530906249999999,1.0748279310344828,0.4217373060344829,0.3935336428280738,680.5,797.0
VIM,0.05857299270609197,0.3202190584191496,-0.08519630932462757,0.026068773571771453,0.2669456608144504,13.516281249999999,15.073318620689653,1.5570373706896543,0.026276207947417342,774.5,769.0
