gene,loading,n_mean,t_mean,expr_delta,pc1_shift,direction,abs_gap
EMB,0.016050996732652,0.1725306696095505,0.7889947552447552,-0.6164640856352046,-0.009894863024328,restore_normal,0.6164640856352046
PDCD4,-0.0165199633423565,0.6224921887627365,0.0235562354312353,0.5989359533315011,-0.0098943999934557,restore_normal,0.5989359533315012
SNX18,0.0158846398769808,0.2706038442312447,0.8934615384615385,-0.6228576942302939,-0.0098938701674548,restore_normal,0.6228576942302939
UQCC2,-0.0164789166347858,0.8589824144135657,0.2589452214452214,0.6000371929683443,-0.0098879628806962,restore_normal,0.6000371929683443
ADH1A,-0.0160545920403098,0.8483490699837619,0.2325189393939394,0.6158301305898225,-0.0098869015127503,restore_normal,0.6158301305898225
FREM2,-0.0163661380473856,0.6691086037607401,0.0663111888111887,0.6027974149495513,-0.0098654657076715,restore_normal,0.6027974149495514
USP32,0.0158185691894907,0.239347120787043,0.862782634032634,-0.623435513245591,-0.009861857801461,restore_normal,0.623435513245591
IRX5,-0.0158337157600384,0.7184197484348087,0.095824592074592,0.6225951563602167,-0.0098579947393843,restore_normal,0.6225951563602167
POU2F2,0.0164306548793749,0.0863646143191565,0.6858566433566434,-0.5994920290374869,-0.0098500466320511,restore_normal,0.5994920290374869
SELK,0.0157380073398181,0.2902264001087525,0.9157284382284384,-0.6255020381196857,-0.0098441556669988,restore_normal,0.6255020381196859
PAK3,0.0160240066891066,0.1549498999712062,0.7687835081585083,-0.613833608187302,-0.0098360738435918,restore_normal,0.613833608187302
DGKK,0.0163598116086579,0.1001802552045478,0.7011582167832168,-0.6009779615786689,-0.0098318862323822,restore_normal,0.600977961578669
ARID1B,0.015902714372562,0.1745681742524065,0.792064393939394,-0.6174962196869875,-0.0098198660078189,restore_normal,0.6174962196869875
FAM161B,0.0159381669156553,0.2114921256091908,0.8274562937062938,-0.615964168097103,-0.0098173397251943,restore_normal,0.615964168097103
SPATA8,0.0163897504734236,0.0950129036608718,0.6939685314685313,-0.5989556278076595,-0.0098167332844203,restore_normal,0.5989556278076595
SLC5A5,0.0164211534559045,0.0917979600334392,0.6895979020979021,-0.5977999420644629,-0.0098165645845713,restore_normal,0.5977999420644629
