gene,ilc_mean,norm_mean,pct_change,pval,abs_pct
NET1,11.59515049019608,11.616258498023715,-0.18171089969482393,0.7764641318410657,0.18171089969482393
AIMP1,10.103541176470587,10.121924110671937,-0.18161501706941385,0.8166019512324783,0.18161501706941385
IKZF2,8.12017794117647,8.105488932806324,0.18122297731717932,0.5206683081338984,0.18122297731717932
ZBED5,9.810767647058823,9.828520158102767,-0.18062242085660568,0.8580659727921172,0.18062242085660568
EFTUD2,10.883010784313727,10.863513438735177,0.1794755047573278,0.24404655481050597,0.1794755047573278
CDK5RAP2,10.58695,10.568065217391306,0.1786966887526064,0.9497219500742533,0.1786966887526064
PDGFRB,12.084659803921568,12.063128458498023,0.17848890109743681,0.6862233735391696,0.17848890109743681
ANP32B,11.37217205882353,11.392503557312253,-0.17846383269876723,0.4103431680683838,0.17846383269876723
FBXO10,7.634236764705881,7.620637549407115,0.1784524616293361,0.30657623014831326,0.1784524616293361
ARF4,12.181532843137253,12.203279841897233,-0.17820617933644703,0.8477281878273302,0.17820617933644703
MAP3K9,6.491008823529411,6.502579841897234,-0.177945041032311,0.1821548199179691,0.177945041032311
CDC25B,9.520475980392156,9.537401976284585,-0.1774696708235248,0.5337013865912171,0.1774696708235248
PAICS,11.308208333333335,11.328140711462451,-0.17595454220433188,0.6757749184667945,0.17595454220433188
PPCS,10.251558333333334,10.233571541501977,0.17576260407631475,0.2708253375013321,0.17576260407631475
COQ5,9.188761274509805,9.204922924901185,-0.17557616205193455,0.6087008450400635,0.17557616205193455
ZNF512,9.799536274509805,9.816756126482213,-0.17541285278499325,0.3712238436131724,0.17541285278499325
S100PBP,9.149538235294118,9.165518972332016,-0.17435714318130002,0.907826348184455,0.17435714318130002
SLC35A3,8.891024509803922,8.906548221343874,-0.1742954863563287,0.7240569197570896,0.1742954863563287
DHTKD1,10.12146911764706,10.139133596837945,-0.17422079531918724,0.6880580657093709,0.17422079531918724
CCDC14,9.622402450980392,9.63917470355731,-0.1740009190903988,0.9386636167482528,0.1740009190903988
NDUFA9,10.194763725490196,10.212398418972333,-0.17267925475151333,0.9877779429084249,0.17267925475151333
C14orf1,9.680752450980393,9.664067193675889,0.1726525382131294,0.4969062554434275,0.1726525382131294
SFRS1,12.104924509803926,12.084198023715414,0.1715172661672329,0.4213667318054273,0.1715172661672329
NSFL1C,10.58428137254902,10.60243794466403,-0.17124902979647766,0.3947264432900577,0.17124902979647766
TRPC4AP,11.108164705882352,11.127169169960473,-0.17079334184498723,0.959654411926092,0.17079334184498723
NUB1,10.756828431372549,10.775203162055334,-0.17052792793263805,0.18297314832732592,0.17052792793263805
GALM,8.353755882352942,8.339600790513833,0.16973344641641053,0.6260119874454768,0.16973344641641053
RIMKLA,5.9868637254901955,5.976737154150198,0.16943310503399603,0.420133415184028,0.16943310503399603
MRPL49,10.497200980392158,10.479447430830039,0.16941303135782879,0.7192550908140127,0.16941303135782879
FAM65A,10.245949019607844,10.263283794466405,-0.1689008625865687,0.3137088869351897,0.1689008625865687
SS18,10.997099509803922,11.015678260869567,-0.1686573502390801,0.7173906498089768,0.1686573502390801
PHF7,6.202546568627452,6.192167984189724,0.16760825068420454,0.3808284742002557,0.16760825068420454
SNAPC5,6.496582843137253,6.507470355731225,-0.16730790919980673,0.7091544010928428,0.16730790919980673
HAUS4,9.728190686274509,9.744493280632412,-0.1673005859658708,0.20458363441669714,0.1673005859658708
CASP3,9.450713235294117,9.434967588932807,0.16688606731177066,0.14034382619130575,0.16688606731177066
ZNF384,10.222689705882354,10.205677470355731,0.16669383856229547,0.1330198589599511,0.16669383856229547
RHOBTB1,8.876717647058825,8.891532015810277,-0.16661210604775517,0.5916061773963839,0.16661210604775517
UBE2G2,10.61832794117647,10.600679841897232,0.16648082521545116,0.9522753298350012,0.16648082521545116
PSTK,5.616239705882353,5.625598023715415,-0.16635240899919765,0.5144434700534519,0.16635240899919765
SLC30A7,9.809618627450979,9.793329249011858,0.1663313672494374,0.7099500366871143,0.1663313672494374
SILV,5.824657352941176,5.814990118577075,0.16624678919431168,0.6742129914704977,0.16624678919431168
MRPS18B,10.414283333333334,10.397004347826087,0.16619196192660504,0.8249131934755358,0.16619196192660504
CNOT8,10.545191666666668,10.56265652173913,-0.1653452901409636,0.3258372865560706,0.1653452901409636
HDDC2,9.519384803921568,9.503717786561264,0.16485145826255396,0.5208994787919385,0.16485145826255396
ZNF326,8.804173039215687,8.818709090909092,-0.16483196739519954,0.7816563602094563,0.16483196739519954
R3HDM2,10.446512745098039,10.429404347826088,0.16404002281795582,0.1886590727753107,0.16404002281795582
ANXA11,11.71948725490196,11.700352964426877,0.16353601069350787,0.5967854860786356,0.16353601069350787
MUL1,9.591625490196078,9.57598972332016,0.1632809487863323,0.42013335674816654,0.1632809487863323
HEXA,10.97807794117647,10.96019604743083,0.1631530464259522,0.5653015795887872,0.1631530464259522
NDUFS4,9.27524950980392,9.260167984189723,0.1628644927386541,0.6789030055842222,0.1628644927386541
FEM1A,9.977783333333335,9.961568774703556,0.16277113571663449,0.12293867670740949,0.16277113571663449
BRCA1,8.09901568627451,8.085913438735178,0.16203793966637453,0.7187222429443796,0.16203793966637453
PDIK1L,8.825092647058824,8.810859288537548,0.16154336433215485,0.8263003446556825,0.16154336433215485
ZCRB1,9.82678725490196,9.810941106719367,0.16151506782300754,0.5320632349719279,0.16151506782300754
KATNB1,8.347174019607843,8.333732015810277,0.16129632884840572,0.673952793672184,0.16129632884840572
SMOC2,10.800661764705882,10.818009881422924,-0.16036329146668943,0.45202694700815593,0.16036329146668943
PCM1,11.856872058823532,11.875896442687747,-0.1601932448301934,0.47263612969652735,0.1601932448301934
CIDEB,8.429948039215688,8.443455731225297,-0.1599782416061666,0.46716297878410407,0.1599782416061666
LRRCC1,9.057750980392157,9.072237154150198,-0.159675871694048,0.9451839090444245,0.159675871694048
GLE1,10.069908333333334,10.053856916996047,0.15965431445669798,0.13256054982363116,0.15965431445669798
TRIM78P,2.926848039215687,2.931505928853755,-0.15889067773058504,0.8544296329245541,0.15889067773058504
PSMA6,11.018485294117646,11.035991699604741,-0.1586301074122997,0.7261945244932493,0.1586301074122997
