gene,r_pc1,r_pc2,r_depth,clean_r,dominant
HSPB8,0.1575,0.6498,0.1575,0.6581,PC2
RPS6KL1,-0.4187,0.5975,-0.4187,0.658,PC2
LOC100128239,0.2696,-0.6337,0.2696,-0.658,PC2
CLPTM1L,0.1002,0.6545,0.1002,0.6578,PC2
FLNB,0.4039,-0.6015,0.4039,-0.6575,PC2
CHTOP,0.4323,-0.5926,0.4323,-0.6572,PC2
THPO,0.4302,0.5932,0.4302,0.6571,PC2
ACSL5,-0.5834,-0.5336,-0.5834,-0.657,depth
KLC1,0.4348,-0.5915,0.4348,-0.6569,PC2
FUT2,0.4352,-0.5911,0.4352,-0.6565,PC2
MYOF,0.4986,-0.5685,0.4986,-0.6559,PC2
MT1H,-0.4456,0.5871,-0.4456,0.6558,PC2
DCXR,-0.3356,0.6178,-0.3356,0.6558,PC2
KCNJ13,-0.5348,-0.5541,-0.5348,-0.6557,PC2
EFNA3,0.5999,0.5245,0.5999,0.6555,depth
CASC15,0.4817,-0.5745,0.4817,-0.6555,PC2
REG1A,-0.3247,0.6197,-0.3247,0.6552,PC2
ZNF74,-0.3745,0.6076,-0.3745,0.6552,PC2
SLC36A1,0.0949,0.6521,0.0949,0.6551,PC2
PREPL,0.6136,-0.5171,0.6136,-0.6549,depth
VGLL3,-0.6164,-0.5157,-0.6164,-0.6549,depth
SYBU,-0.4986,-0.5676,-0.4986,-0.6548,PC2
PLEKHO2,-0.709,-0.4616,-0.709,-0.6546,depth
NHLRC4,0.6796,-0.4801,0.6796,-0.6545,depth
LONP1,0.4522,0.5833,0.4522,0.654,PC2
H2AFY2,-0.5751,-0.5343,-0.5751,-0.6531,depth
ABLIM2,0.177,0.6426,0.177,0.6529,PC2
CD53,0.5517,-0.5443,0.5517,-0.6526,depth
LMO3,-0.6203,-0.5113,-0.6203,-0.6519,depth
RORC,0.4754,0.5735,0.4754,0.6519,PC2
LAMP5,0.2013,0.6384,0.2013,0.6518,PC2
STK24,0.4891,-0.568,0.4891,-0.6512,PC2
ZNF516,0.3103,0.6186,0.3103,0.6507,PC2
OR2B6,-0.5783,0.5306,-0.5783,0.6504,depth
EPHA2,-0.3886,-0.5993,-0.3886,-0.6504,PC2
GPT2,-0.2975,0.6209,-0.2975,0.6503,PC2
MZB1,0.5164,0.5565,0.5164,0.6498,PC2
TLE1,0.6516,-0.4928,0.6516,-0.6496,depth
DNAH1,-0.6982,0.4649,-0.6982,0.6494,depth
PARD6G,-0.0554,0.6484,-0.0554,0.6494,PC2
STARD13,0.0763,-0.6463,0.0763,-0.6482,PC2
SLC31A2,-0.6925,0.4674,-0.6925,0.6479,depth
PCYT2,-0.4971,0.5622,-0.4971,0.6479,PC2
CALCB,-0.4293,-0.585,-0.4293,-0.6477,PC2
APOBEC3F,0.2476,-0.627,0.2476,-0.6471,PC2
CARD10,-0.7099,0.4555,-0.7099,0.6467,depth
SLC26A4,-0.4022,0.5916,-0.4022,0.6462,PC2
TESC,-0.6658,-0.4819,-0.6658,-0.6459,depth
MC5R,0.3577,0.6031,0.3577,0.6458,PC2
FBXO31,-0.3853,0.5952,-0.3853,0.645,PC2
