gene,r,p,abs_r,novel
LOC728758,-0.05240670796196768,0.22665119733084926,0.05240670796196768,True
DEFB104A,-0.052402679241962,0.2266869545178932,0.052402679241962,True
MUSTN1,0.052400806634451125,0.2267035763430938,0.052400806634451125,True
IMPG1,-0.05239980711355129,0.2267124487448307,0.05239980711355129,True
ZNF594,0.052382787199753,0.22686356654909132,0.052382787199753,True
DGCR2,-0.05237500893094913,0.22693265272310895,0.05237500893094913,True
TNIP1,0.052347658696148894,0.22717569485418293,0.052347658696148894,True
ITGA8,0.05231272650664667,0.2274863814799123,0.05231272650664667,True
SLC7A6OS,-0.05230656725214508,0.22754119314588536,0.05230656725214508,True
MTHFR,-0.052306154977065845,0.2275448623477524,0.052306154977065845,True
RELN,-0.05229684300567348,0.22762774904821914,0.05229684300567348,True
ATP8A2,0.052278524177484714,0.22779086921642455,0.052278524177484714,True
POLR1A,-0.052265665643693525,0.22790541774705775,0.052265665643693525,True
SYCN,-0.05225619958639101,0.22798977100422368,0.05225619958639101,True
MAP3K11,-0.05224894372030026,0.22805444397781524,0.05224894372030026,True
OR5K4,-0.05224725054219122,0.22806953748538045,0.05224725054219122,True
OR2L2,0.052232964589084586,0.22819691509458231,0.052232964589084586,True
PRSS21,0.052186766252495104,0.22860917846854906,0.052186766252495104,True
OBFC1,-0.052166788729403925,0.22878761700035063,0.052166788729403925,True
MAMDC2,0.05216465068801139,0.22880671976643385,0.05216465068801139,True
KRTAP2-2,0.05216088678891255,0.22884035184045684,0.05216088678891255,True
CARNS1,0.05215766895132937,0.228869107400077,0.05215766895132937,True
THAP8,-0.05215625973763915,0.2288817013629497,0.05215625973763915,True
TMPRSS11BNL,-0.05215552947763859,0.22888822779687606,0.05215552947763859,True
C5orf36,0.052153192160288,0.22890911761113958,0.052153192160288,True
APBA1,-0.05214927720223941,0.22894411064828957,0.05214927720223941,True
YIPF6,-0.052146507091293384,0.22896887300185587,0.052146507091293384,True
LOC100130238,-0.05214382679796524,0.22899283427454983,0.05214382679796524,True
LOC100271722,-0.05213360486350331,0.22908423260974237,0.05213360486350331,True
FAM65B,0.05212832527916795,0.2291314495878209,0.05212832527916795,True
COL11A2,0.05212262870654856,0.22918240356919753,0.05212262870654856,True
HHLA3,0.05210622782747302,0.22932914897835507,0.05210622782747302,True
MAP3K5,0.052105904819936044,0.2293320397289432,0.052105904819936044,True
OR52H1,0.05210520330811185,0.2293383179864214,0.05210520330811185,True
THAP1,0.0521035126850419,0.2293534489052647,0.0521035126850419,True
HBZ,-0.05209484731861397,0.22943101424695383,0.05209484731861397,True
PRRT3,-0.05208216078160984,0.22954460741965824,0.05208216078160984,True
STK11,-0.05207059045567826,0.2296482410053335,0.05207059045567826,True
TEAD2,0.052064322592440315,0.22970439512659407,0.052064322592440315,True
LOC407835,-0.05204898476706545,0.22984184860053658,0.05204898476706545,True
C2orf55,0.05203986919264098,0.22992356756518761,0.05203986919264098,True
MPHOSPH6,0.05202728708411176,0.23003639703396647,0.05202728708411176,True
DDHD2,-0.05202693021177216,0.23003959784248126,0.05202693021177216,True
LCE2C,-0.052008199038572435,0.2302076431461493,0.052008199038572435,True
OR5B17,0.051982354050346576,0.23043965237799396,0.051982354050346576,True
ABCA11P,0.05197502250591944,0.2305054974734141,0.05197502250591944,True
C3orf47,0.05196495257325435,0.23059595795563795,0.05196495257325435,True
CPSF3,0.05196247397341192,0.23061822763696094,0.05196247397341192,True
H3F3A,0.05196185031271272,0.23062383133293213,0.05196185031271272,True
NCRNA00203,-0.05191517649106601,0.23104347735336936,0.05191517649106601,True
STRAP,-0.05190597153809131,0.23112630324896347,0.05190597153809131,True
SPDYE8P,0.05190167302900873,0.23116498831130913,0.05190167302900873,True
DCUN1D4,0.051897933315354146,0.23119864814351299,0.051897933315354146,True
FAM71E2,0.051878072259609456,0.2313774686256889,0.051878072259609456,True
IL25,0.051868203248477525,0.2314663614205957,0.051868203248477525,True
OR1A2,0.051864678177689034,0.2314981185279817,0.051864678177689034,True
SPIN3,0.05185916604677156,0.2315477831010992,0.05185916604677156,True
TSPAN4,0.0518484634415931,0.23164423565288086,0.0518484634415931,True
IQUB,-0.05184662091689595,0.23166084347170282,0.05184662091689595,True
RHBDF1,0.051840812864110394,0.2317132005746588,0.051840812864110394,True
STRADA,0.0518329968197412,0.2317836720838948,0.0518329968197412,True
NHSL1,-0.051820650972330524,0.23189501640102,0.051820650972330524,True
EHMT1,0.051816997147945666,0.23192797665142167,0.051816997147945666,True
NAA20,-0.05180471046691339,0.2320388361041861,0.05180471046691339,True
LOC441869,0.051795866475590195,0.23211865629807796,0.051795866475590195,True
RABIF,-0.05178810698113798,0.23218870452374496,0.05178810698113798,True
OR10J5,0.05178637405719737,0.23220435040190326,0.05178637405719737,True
SCAPER,-0.05178304429989354,0.2322344155451189,0.05178304429989354,True
FGF20,0.05177671436206557,0.23229157760403762,0.05177671436206557,True
TBC1D22A,0.05176247411993014,0.232420209506652,0.05176247411993014,True
GALNT10,0.05176221950225251,0.2324225099230702,0.05176221950225251,True
ZSCAN5B,-0.051755778303764016,0.23248071013723476,0.051755778303764016,True
RSPH10B2,-0.05175425093475187,0.2324945123738591,0.05175425093475187,True
SNORA70C,-0.051746443594113976,0.23256507331581866,0.051746443594113976,True
ALS2CR12,-0.051743699838339416,0.2325898743447624,0.051743699838339416,True
EML2,-0.05173741021874911,0.23264673378303063,0.05173741021874911,True
DSCR10,0.05173237506653435,0.23269225966863064,0.05173237506653435,True
OR2G6,-0.05172025647630181,0.23280185708093945,0.05172025647630181,True
VMAC,0.05171627476542463,0.23283787461838362,0.05171627476542463,True
GOLGA2,-0.051702888074372344,0.23295899610257112,0.051702888074372344,True
SNORA70B,-0.0517009135566242,0.23297686511865023,0.0517009135566242,True
OR2T2,-0.051690295833615015,0.2330729701474489,0.051690295833615015,True
NIPA1,0.05168998726293269,0.2330757635566502,0.05168998726293269,True
INSC,-0.05168905836165011,0.23308417279848753,0.05168905836165011,True
TMPRSS11B,-0.051674265591226246,0.23321811905084636,0.051674265591226246,True
DDX3X,0.05167187022600975,0.23323981383267478,0.05167187022600975,True
KRTDAP,0.05167134267675663,0.2332445920289946,0.05167134267675663,True
C22orf34,0.05166817554073594,0.23327327933212824,0.05166817554073594,True
IFNA21,0.051653000083623425,0.23341077029304205,0.051653000083623425,True
WDR88,0.05165267978256593,0.23341367286574718,0.05165267978256593,True
SNORA11E,0.05164307653713575,0.23350070946422796,0.05164307653713575,True
C19orf26,-0.05164190915437648,0.23351129130799686,0.05164190915437648,True
CLRN2,-0.05163930165761754,0.23353492841617815,0.05163930165761754,True
EDN2,0.051638060447732614,0.23354618064941365,0.051638060447732614,True
GTSF1,0.051630104996735635,0.2336183101797912,0.051630104996735635,True
P2RY13,0.051616336917041206,0.2337431781620515,0.051616336917041206,True
TBC1D29,0.05158186498832085,0.23405602416631446,0.05158186498832085,True
RANBP10,-0.05157454280453966,0.23412251387861258,0.05157454280453966,True
ZNF625,0.05157282717771141,0.23413809470350963,0.05157282717771141,True
CCT8L2,0.05156710678531012,0.23419005094082337,0.05156710678531012,True
SMARCD3,0.05154232941949909,0.23441518876692335,0.05154232941949909,True
SLC13A5,0.05153655041030052,0.23446772131615148,0.05153655041030052,True
ZNF562,0.05153085477449691,0.23451950411758982,0.05153085477449691,True
ANAPC16,-0.05152040970292275,0.23461448817726582,0.05152040970292275,True
HMGN4,0.05150689776871008,0.23473740158397202,0.05150689776871008,True
GATAD2B,0.051483253719579784,0.2349525927394956,0.051483253719579784,True
IGSF8,0.05148179644786509,0.23496586033544867,0.05148179644786509,True
INSR,0.0514722729056405,0.23505257957178557,0.0514722729056405,True
ATRX,0.05145537893869055,0.23520646782758564,0.05145537893869055,True
C14orf183,0.05144211603579725,0.23532733030433936,0.05144211603579725,True
EYA3,-0.051435855919552104,0.23538439285642102,0.051435855919552104,True
GJA10,0.05140664935893462,0.23565074714730277,0.05140664935893462,True
FBXO27,0.051394547309566496,0.2357611761778713,0.051394547309566496,True
ZNF557,-0.05138773834957616,0.23582332276405174,0.05138773834957616,True
TKTL2,0.051381662646468144,0.23587878654116032,0.051381662646468144,True
CCNI,0.05135719645957275,0.23610222619915094,0.05135719645957275,True
MYST4,0.05131921916502431,0.23644935290348573,0.05131921916502431,True
IL1F9,0.05131364105516485,0.23650036921178313,0.05131364105516485,True
ARHGDIA,-0.05131277375676063,0.2365083020514667,0.05131277375676063,True
DNER,0.05130999017655253,0.23653376363950954,0.05130999017655253,True
SMCR5,-0.0513093447854479,0.23653966734962836,0.0513093447854479,True
SCAF1,-0.051303419756039526,0.23659387136506566,0.051303419756039526,True
RND1,0.051293785305570334,0.23668202901590946,0.051293785305570334,True
MYH4,-0.05127144854232354,0.23688650510259837,0.05127144854232354,True
IL15,0.05124280934407096,0.23714885730829263,0.05124280934407096,True
FAM192A,-0.051229810094216933,0.23726800575313556,0.051229810094216933,True
OR4D1,0.051206057136894495,0.23748582939974158,0.051206057136894495,True
CHD9,0.05119761520850679,0.23756327901094265,0.05119761520850679,True
RDH13,0.051192429865275495,0.2376108602332248,0.051192429865275495,True
SPDYE6,0.051186570700335866,0.23766463258737516,0.051186570700335866,True
ARL13A,0.05118009575031015,0.23772406626410442,0.05118009575031015,True
CEP152,0.05117647986718455,0.23775726107167952,0.05117647986718455,True
ZNF99,-0.05116187296569908,0.23789138969790657,0.05116187296569908,True
ZDHHC1,-0.051161094195259355,0.23789854229349391,0.051161094195259355,True
PHACTR2,-0.05114573431315747,0.23803964565579952,0.05114573431315747,True
CKS2,-0.05111866473148257,0.2382884634399354,0.05111866473148257,True
CASC1,-0.05108615891903534,0.23858749174543867,0.05108615891903534,True
RAB35,0.05107896504133808,0.23865370552391477,0.05107896504133808,True
C2orf82,0.05106583784303809,0.2387745640060455,0.05106583784303809,True
ZNF846,0.051034638727163927,0.23906197842136476,0.051034638727163927,True
MEF2A,0.05102181122930848,0.2391802192583116,0.05102181122930848,True
KDM4DL,0.05101109984037099,0.23927898581562088,0.05101109984037099,True
CCDC157,-0.05100633309596985,0.2393229477809931,0.05100633309596985,True
HEXA,-0.05098342728539702,0.23953427904688346,0.05098342728539702,True
HOXB2,-0.05096983819764794,0.23965971530675476,0.05096983819764794,True
CD79B,0.05094332138191152,0.23990461600620785,0.05094332138191152,True
KRTAP5-9,-0.05094326200815239,0.23990516456027536,0.05094326200815239,True
OR1J1,0.0509374986842288,0.23995841609748747,0.0509374986842288,True
APPBP2,-0.05092508338212746,0.2400731583189944,0.05092508338212746,True
OR2D3,0.05089332851639664,0.24036681221685757,0.05089332851639664,True
AADACL4,-0.05087732092314552,0.2405149384674852,0.05087732092314552,True
SLC35B3,0.050870212505106066,0.2405807367653981,0.050870212505106066,True
SLCO3A1,0.05086603661642286,0.24061939632024432,0.05086603661642286,True
ANKRD11,0.05086539592192226,0.24062532812984022,0.05086539592192226,True
DEFB135,-0.050852053342302084,0.2407488824897062,0.050852053342302084,True
SPATA22,0.05082625808591034,0.2409878769062563,0.05082625808591034,True
LOC388789,-0.05082610522752512,0.24098929364368252,0.05082610522752512,True
SLC35C1,0.05082483387073231,0.24100107718692038,0.05082483387073231,True
LMAN2,0.05081865511727251,0.24105835059261219,0.05081865511727251,True
